institution,paperappearance
Univ Michigan;University of Michigan System;University of Michigan,324075
Univ Toronto;University of Toronto,275401
Univ Washington;University of Washington;University of Washington Seattle,273568
Stanford Univ;Stanford University,270225
Univ Tokyo;University of Tokyo,260885
Univ Penn;University of Pennsylvania,253478
Harvard Univ;Harvard University,252337
Univ Pittsburgh;Pennsylvania Commonwealth System of Higher Education (PCSHE);University of Pittsburgh,236952
Univ Sao Paulo;Universidade de Sao Paulo,227362
Johns Hopkins Univ;Johns Hopkins University,217461
Univ Minnesota;University of Minnesota System;University of Minnesota Twin Cities,216935
Columbia Univ;Columbia University,214159
MIT;Massachusetts Institute of Technology (MIT),213984
Univ Oxford;University of Oxford,213338
Duke Univ;Duke University,212117
Univ Calif San Diego;University of California System;University of California San Diego,207793
Univ Calif San Francisco;University of California System;University of California San Francisco,204862
Univ Calif Los Angeles;University of California System;University of California Los Angeles,203276
Yale Univ;Yale University,202360
Univ Florida;State University System of Florida;University of Florida,201997
Univ Wisconsin;University of Wisconsin System;University of Wisconsin Madison,201934
Seoul Natl Univ;Seoul National University (SNU),199570
Ohio State Univ;Ohio State University,196764
Mayo Clin;Mayo Clinic,196676
UCL;University of London;University College London,193731
Univ Cambridge;University of Cambridge,189491
McGill Univ;McGill University,186870
Univ British Columbia;University of British Columbia,186842
Univ Calif Berkeley;University of California System;University of California Berkeley,180485
Kyoto Univ;Kyoto University,179548
Univ Calif Davis;University of California System;University of California Davis,178012
Zhejiang Univ;Zhejiang University,177223
Penn State Univ;Pennsylvania Commonwealth System of Higher Education (PCSHE);Penn State University,171031
Univ Sydney;University of Sydney,168031
Shanghai Jiao Tong Univ;Shanghai Jiao Tong University,167832
Washington Univ;Washington University (WUSTL),164367
Univ Illinois;University of Illinois System;University of Illinois Urbana-Champaign,163494
NYU;New York University,161706
Osaka Univ;Osaka University,156751
Vanderbilt Univ;Vanderbilt University,155645
Peking Univ;Peking University,153513
Cornell Univ;Cornell University,151808
Natl Univ Singapore;National University of Singapore,150991
Univ Melbourne;University of Melbourne,149958
Tohoku Univ;Tohoku University,149603
Univ Queensland;University of Queensland,146761
Univ Alberta;University of Alberta,146405
Univ Chicago;University of Chicago,145366
Univ Manchester;University of Manchester,144513
Univ N Carolina;University of North Carolina;University of North Carolina Chapel Hill,143443
